File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
mc_w.l,17.226627%,2738,0,2738,0,0,0
bl_core.o,17.063044%,2712,4096,2638,74,0,4096
printfa.o,14.470869%,2300,0,2300,0,0,0
mf_w.l,6.706933%,1066,0,1066,0,0,0
fun.o,5.637347%,896,768,896,0,0,768
gd32f4xx_fmc.o,4.857179%,772,0,772,0,0,0
system_gd32f4xx.o,4.366427%,694,4,690,0,4,0
gd32f4xx_usart.o,3.561092%,566,0,566,0,0,0
startup_gd32f450_470.o,2.919341%,464,8192,36,428,0,8192
gd32f4xx_dma.o,2.302756%,366,0,366,0,0,0
dadd.o,2.101422%,334,0,334,0,0,0
gd32f4xx_rcu.o,1.812005%,288,0,280,8,0,0
gd32f4xx_pmu.o,1.761671%,280,16,280,0,0,16
gd32f4xx_gpio.o,1.661004%,264,0,264,0,0,0
dmul.o,1.434504%,228,0,228,0,0,0
gd32f4xx_it.o,1.409337%,224,0,224,0,0,0
ddiv.o,1.396754%,222,0,222,0,0,0
gd32f4xx_misc.o,1.359003%,216,0,216,0,0,0
depilogue.o,1.170253%,186,0,186,0,0,0
gd32f4xx_exti.o,1.170253%,186,0,186,0,0,0
gd32f4xx_syscfg.o,0.830502%,132,0,132,0,0,0
usart_app.o,0.666918%,106,515,106,0,0,515
uldiv.o,0.616585%,98,0,98,0,0,0
systick.o,0.616585%,98,4,98,0,0,4
memmovea.o,0.402668%,64,0,64,0,0,0
dfixul.o,0.302001%,48,0,48,0,0,0
cdrcmple.o,0.302001%,48,0,48,0,0,0
init.o,0.302001%,48,0,48,0,0,0
uidiv.o,0.276834%,44,0,44,0,0,0
memseta.o,0.226501%,36,0,36,0,0,0
llsshr.o,0.226501%,36,0,36,0,0,0
llushr.o,0.201334%,32,0,32,0,0,0
llshl.o,0.188750%,30,0,30,0,0,0
handlers.o,0.188750%,30,0,30,0,0,0
main.o,0.138417%,22,0,22,0,0,0
entry9a.o,0.050333%,8,0,8,0,0,0
entry2.o,0.050333%,8,0,8,0,0,0
entry5.o,0.025167%,4,0,4,0,0,0
