File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
sdio_sdcard.o,14.060238%,6797,61,6792,0,5,56
ff.o,12.330893%,5961,6,5804,157,0,6
oled.o,7.519341%,3635,23,1540,2072,23,0
ota_uart.o,7.362128%,3559,20524,3482,77,0,20524
mc_w.l,5.982376%,2892,0,2892,0,0,0
ymodem_ota.o,5.084606%,2458,5164,2458,0,0,5164
sd_app.o,5.057714%,2445,1374,1318,1127,0,1374
printfa.o,4.757768%,2300,0,2300,0,0,0
fun.o,4.244756%,2052,2906,2050,0,2,2904
gd25qxx.o,3.249762%,1571,0,1256,315,0,0
ccsbcs.o,2.763642%,1336,0,120,1216,0,0
mf_w.l,2.283728%,1104,0,1104,0,0,0
gd32f4xx_rcu.o,1.671424%,808,0,800,8,0,0
gd32f4xx_fmc.o,1.596955%,772,0,772,0,0,0
gd32f4xx_dma.o,1.319763%,638,0,638,0,0,0
perf_counter.o,1.274254%,616,36,612,4,0,36
gd32f4xx_sdio.o,1.257706%,608,0,608,0,0,0
system_gd32f4xx.o,1.170825%,566,4,562,0,4,0
gd32f4xx_usart.o,1.100492%,532,0,532,0,0,0
gd32f4xx_adc.o,1.075669%,520,0,520,0,0,0
gd30ad3344.o,0.997063%,482,2,482,0,0,2
startup_gd32f450_470.o,0.959828%,464,8192,36,428,0,8192
main.o,0.920525%,445,0,372,73,0,0
gd32f4xx_rtc.o,0.901907%,436,0,436,0,0,0
gd32f4xx_i2c.o,0.897770%,434,0,434,0,0,0
ring_buffer.o,0.872947%,422,0,422,0,0,0
usart_app.o,0.740557%,358,521,340,18,0,521
dadd.o,0.690911%,334,0,334,0,0,0
gd32f4xx_gpio.o,0.583344%,282,0,282,0,0,0
gd32f4xx_it.o,0.533697%,258,0,258,0,0,0
oled_app.o,0.508874%,246,0,246,0,0,0
diskio.o,0.488188%,236,0,236,0,0,0
dmul.o,0.471640%,228,0,228,0,0,0
ddiv.o,0.459228%,222,0,222,0,0,0
key_app.o,0.434405%,210,4,186,24,0,4
depilogue.o,0.384759%,186,0,186,0,0,0
gd32f4xx_misc.o,0.359935%,174,0,174,0,0,0
led_app.o,0.349592%,169,7,162,0,7,0
scheduler.o,0.339250%,164,73,92,0,72,1
gd32f4xx_dac.o,0.314426%,152,0,152,0,0,0
perfc_port_default.o,0.285466%,138,0,138,0,0,0
systick.o,0.244094%,118,4,118,0,0,4
gd32f4xx_spi.o,0.210997%,102,0,102,0,0,0
uldiv.o,0.202722%,98,0,98,0,0,0
ldiv.o,0.202722%,98,0,98,0,0,0
rtc_app.o,0.132390%,64,0,64,0,0,0
dfixul.o,0.099293%,48,0,48,0,0,0
cdrcmple.o,0.099293%,48,0,48,0,0,0
init.o,0.099293%,48,0,48,0,0,0
uidiv.o,0.091018%,44,0,44,0,0,0
cpp_init.o,0.082744%,40,0,40,0,0,0
f2d.o,0.078607%,38,0,38,0,0,0
adc_app.o,0.078607%,38,0,38,0,0,0
memseta.o,0.074469%,36,0,36,0,0,0
memcpya.o,0.074469%,36,0,36,0,0,0
llsshr.o,0.074469%,36,0,36,0,0,0
systick_wrapper_ual.o,0.074469%,36,0,36,0,0,0
llushr.o,0.066195%,32,0,32,0,0,0
llshl.o,0.062058%,30,0,30,0,0,0
handlers.o,0.062058%,30,0,30,0,0,0
gd32f4xx_exti.o,0.062058%,30,0,30,0,0,0
memcmp.o,0.053783%,26,0,26,0,0,0
gd32f4xx_pmu.o,0.037235%,18,0,18,0,0,0
strlen.o,0.028960%,14,0,14,0,0,0
entry9a.o,0.016549%,8,0,8,0,0,0
entry2.o,0.016549%,8,0,8,0,0,0
entry8a.o,0.008274%,4,0,4,0,0,0
entry5.o,0.008274%,4,0,4,0,0,0
