File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
ota_uart.o,52.759567%,20524,3559,3482,77,0,20524
startup_gd32f450_470.o,21.058584%,8192,464,36,428,0,8192
ymodem_ota.o,13.274723%,5164,2458,2458,0,0,5164
fun.o,7.470245%,2906,2052,2050,0,2,2904
sd_app.o,3.532043%,1374,2445,1318,1127,0,1374
usart_app.o,1.339297%,521,358,340,18,0,521
scheduler.o,0.187656%,73,164,92,0,72,1
sdio_sdcard.o,0.156808%,61,6797,6792,0,5,56
perf_counter.o,0.092543%,36,616,612,4,0,36
oled.o,0.059124%,23,3635,1540,2072,23,0
led_app.o,0.017994%,7,169,162,0,7,0
ff.o,0.015424%,6,5961,5804,157,0,6
systick.o,0.010283%,4,118,118,0,0,4
system_gd32f4xx.o,0.010283%,4,566,562,0,4,0
key_app.o,0.010283%,4,210,186,24,0,4
gd30ad3344.o,0.005141%,2,482,482,0,0,2
